"","Site","Date","year","month","variable","val"
"1","AK1",2018-01-01,2018,1,"d18O",-4.509868805
"2","AK1",2019-01-01,2019,1,"d18O",-4.576328731
"3","AK1",2020-01-01,2020,1,"d18O",-3.739676876
"4","AK1",2021-01-01,2021,1,"d18O",-4.218029594
"5","AK1",2018-02-01,2018,2,"d18O",-4.269240675
"6","AK1",2019-02-01,2019,2,"d18O",-4.215600611
"7","AK1",2020-02-01,2020,2,"d18O",-3.462957133
"8","AK1",2021-02-01,2021,2,"d18O",-3.604485088
"9","AK1",2018-03-01,2018,3,"d18O",-4.59400228
"10","AK1",2019-03-01,2019,3,"d18O",-3.498658294
"11","AK1",2020-03-02,2020,3,"d18O",-3.090242294
"12","AK1",2017-04-01,2017,4,"d18O",-4.2078269
"13","AK1",2018-04-01,2018,4,"d18O",-4.458194474
"14","AK1",2017-05-01,2017,5,"d18O",-4.485515668
"15","AK1",2018-05-01,2018,5,"d18O",-4.456764524
"16","AK1",2019-05-01,2019,5,"d18O",-4.326530145
"17","AK1",2020-05-04,2020,5,"d18O",-3.198654519
"18","AK1",2017-06-01,2017,6,"d18O",-4.745416125
"19","AK1",2018-06-01,2018,6,"d18O",-5.065323018
"20","AK1",2019-06-01,2019,6,"d18O",-4.331930682
"21","AK1",2020-06-01,2020,6,"d18O",-4.676705476
"22","AK1",2021-06-01,2021,6,"d18O",-4.34
"23","AK1",2017-07-01,2017,7,"d18O",-5.153290912
"24","AK1",2018-07-01,2018,7,"d18O",-4.629874344
"25","AK1",2019-07-01,2019,7,"d18O",-4.409208816
"26","AK1",2020-07-01,2020,7,"d18O",-4.691300227
"27","AK1",2021-07-01,2021,7,"d18O",-4.5
"28","AK1",2017-08-01,2017,8,"d18O",-4.689346813
"29","AK1",2018-08-01,2018,8,"d18O",-4.899816673
"30","AK1",2019-08-01,2019,8,"d18O",-5.150298831
"31","AK1",2020-08-01,2020,8,"d18O",-4.485010473
"32","AK1",2017-09-01,2017,9,"d18O",-5.103370171
"33","AK1",2018-09-01,2018,9,"d18O",-4.901150444
"34","AK1",2019-09-01,2019,9,"d18O",-4.581651734
"35","AK1",2020-09-01,2020,9,"d18O",-4.727121158
"36","AK1",2017-10-01,2017,10,"d18O",-4.583722077
"37","AK1",2018-10-01,2018,10,"d18O",-4.614254366
"38","AK1",2019-10-01,2019,10,"d18O",-4.498603498
"39","AK1",2020-10-01,2020,10,"d18O",-4.56
"40","AK1",2017-11-01,2017,11,"d18O",-4.436405402
"41","AK1",2018-11-01,2018,11,"d18O",-4.629448601
"42","AK1",2019-11-01,2019,11,"d18O",-4.283180889
"43","AK1",2020-11-01,2020,11,"d18O",-4.564762891
"44","AK1",2017-12-01,2017,12,"d18O",-4.300302987
"45","AK1",2018-12-01,2018,12,"d18O",-4.646333286
"46","AK1",2019-12-01,2019,12,"d18O",-4.21277313
